"","dt","symbol1","symbol2","coint","p_value","test_value","residual_se","beta"
"1",2003-01-01,"A","ACH",0,NA,NA,NA,NA
"2",2003-01-01,"ACN","A",1,0.01,-9.08932239186053,2.31733307286937,0.946836503254617
"3",2003-01-01,"A","ADS",0,NA,NA,NA,NA
"4",2003-01-01,"A","AIV",0,NA,NA,NA,NA
"5",2003-01-01,"A","ASGN",0,NA,NA,NA,NA
"6",2003-01-01,"A","AUO",0,NA,NA,NA,NA
"7",2003-01-01,"A","BG",0,NA,NA,NA,NA
"8",2003-01-01,"A","BLK",0,NA,NA,NA,NA
"9",2003-01-01,"A","BPL",0,NA,NA,NA,NA
"10",2003-01-01,"A","BVN",0,NA,NA,NA,NA
"11",2003-01-01,"A","BXP",0,NA,NA,NA,NA
"12",2003-01-01,"A","BYD",0,NA,NA,NA,NA
"13",2003-01-01,"CBD","A",1,0.01,-8.63554240979764,2.06160588000421,0.830649964109772
"14",2003-01-01,"A","CCJ",0,NA,NA,NA,NA
"15",2003-01-01,"CCL","A",1,0.01,-7.42546496195118,5.15742099828715,1.47998832219547
"16",2003-01-01,"A","CEA",0,NA,NA,NA,NA
"17",2003-01-01,"A","CHA",1,0.01,-6.28069543416447,2.80033494621692,0.822342337283649
"18",2003-01-01,"A","CIEN",0,NA,NA,NA,NA
"19",2003-01-01,"A","CLB",0,NA,NA,NA,NA
"20",2003-01-01,"A","CNX",0,NA,NA,NA,NA
"21",2003-01-01,"A","COF",0,NA,NA,NA,NA
"22",2003-01-01,"A","COG",0,NA,NA,NA,NA
"23",2003-01-01,"CPT","A",1,0.01,-6.06138130998157,8.20045411933674,1.74363117864422
"24",2003-01-01,"A","CRL",0,NA,NA,NA,NA
"25",2003-01-01,"A","DECK",0,NA,NA,NA,NA
"26",2003-01-01,"A","DKS",0,NA,NA,NA,NA
"27",2003-01-01,"A","DNP",0,NA,NA,NA,NA
"28",2003-01-01,"A","EL",0,NA,NA,NA,NA
"29",2003-01-01,"A","EPR",0,NA,NA,NA,NA
"30",2003-01-01,"A","ERJ",1,0.01,-5.11960207829763,4.187898229794,1.03277347814855
"31",2003-01-01,"A","ESS",0,NA,NA,NA,NA
"32",2003-01-01,"A","ET",1,0.01,-6.12572549253238,4.1845970621023,2.49537707493867
"33",2003-01-01,"FBR","A",1,0.01,-8.17322648472815,2.40822130966822,0.715672255682592
"34",2003-01-01,"A","FDS",0,NA,NA,NA,NA
"35",2003-01-01,"A","FR",0,NA,NA,NA,NA
"36",2003-01-01,"A","FUN",0,NA,NA,NA,NA
"37",2003-01-01,"A","GEL",0,NA,NA,NA,NA
"38",2003-01-01,"A","GIL",0,NA,NA,NA,NA
"39",2003-01-01,"GS","A",1,0.01,-7.01618129921975,16.0035741513311,3.95987651384168
"40",2003-01-01,"A","HAE",0,NA,NA,NA,NA
"41",2003-01-01,"A","HDB",0,NA,NA,NA,NA
"42",2003-01-01,"A","HIW",0,NA,NA,NA,NA
"43",2003-01-01,"A","HNP",0,NA,NA,NA,NA
"44",2003-01-01,"HR","A",1,0.01,-6.55848683541954,7.16479409069315,1.46602738604397
"45",2003-01-01,"IEX","A",1,0.01,-6.94406721669395,6.71349004032064,1.67225674649348
"46",2003-01-01,"A","ING",1,0.01,-8.52931594184982,2.98065227723467,1.13827449923575
"47",2003-01-01,"A","IT",0,NA,NA,NA,NA
"48",2003-01-01,"A","JBL",0,NA,NA,NA,NA
"49",2003-01-01,"A","JNPR",1,0.01,-6.57180027368111,3.08195077833195,1.484944524864
"50",2003-01-01,"A","KEP",0,NA,NA,NA,NA
"51",2003-01-01,"A","KOF",0,NA,NA,NA,NA
"52",2003-01-01,"KRC","A",1,0.01,-6.33333628849506,5.22161594754412,1.28895110014662
"53",2003-01-01,"A","KSS",0,NA,NA,NA,NA
"54",2003-01-01,"LHO","A",1,0.01,-6.8028257585479,2.71347375168843,0.734955222869345
"55",2003-01-01,"A","LII",0,NA,NA,NA,NA
"56",2003-01-01,"MAA","A",1,0.01,-6.30410475513404,5.52965570749336,1.34939511121868
"57",2003-01-01,"A","MAC",0,NA,NA,NA,NA
"58",2003-01-01,"A","MET",0,NA,NA,NA,NA
"59",2003-01-01,"A","MKL",0,NA,NA,NA,NA
"60",2003-01-01,"MLM","A",1,0.01,-7.28822080328351,5.19159674453205,1.69978719661544
"61",2003-01-01,"A","MMS",1,0.01,-9.29162422587898,2.00965354665201,0.688555125287108
"62",2003-01-01,"A","MSM",0,NA,NA,NA,NA
"63",2003-01-01,"MTD","A",1,0.01,-6.29961540018826,8.20299687103349,1.70629148748078
"64",2003-01-01,"A","MTG",0,NA,NA,NA,NA
"65",2003-01-01,"A","MTN",0,NA,NA,NA,NA
"66",2003-01-01,"A","NEA",0,NA,NA,NA,NA
"67",2003-01-01,"A","NFX",0,NA,NA,NA,NA
"68",2003-01-01,"A","NOK",0,NA,NA,NA,NA
"69",2003-01-01,"A","NUS",0,NA,NA,NA,NA
"70",2003-01-01,"A","NVG",0,NA,NA,NA,NA
"71",2003-01-01,"A","OHI",1,0.01,-7.11605098639516,6.12041363345256,3.59650100354103
"72",2003-01-01,"A","ORCL",0,NA,NA,NA,NA
"73",2003-01-01,"A","PAA",0,NA,NA,NA,NA
"74",2003-01-01,"A","PKG",0,NA,NA,NA,NA
"75",2003-01-01,"A","PKX",0,NA,NA,NA,NA
"76",2003-01-01,"PRU","A",1,0.01,-7.31863304559227,7.63056566225605,1.65566170391895
"77",2003-01-01,"A","RCL",1,0.01,-6.75298248799294,3.07721009567629,0.843435326959541
"78",2003-01-01,"A","RIO",0,NA,NA,NA,NA
"79",2003-01-01,"A","RL",0,NA,NA,NA,NA
