"","dt","symbol1","symbol2","coint","p_value","test_value","residual_se","beta"
"1",2016-01-01,"A","ACH",0,NA,NA,NA,NA
"2",2016-01-01,"A","ACN",0,NA,NA,NA,NA
"3",2016-01-01,"A","ADS",0,NA,NA,NA,NA
"4",2016-01-01,"A","AIV",0,NA,NA,NA,NA
"5",2016-01-01,"A","ASGN",1,0.01,-6.65786980728457,1.66045627015787,0.991769332258191
"6",2016-01-01,"A","AUO",0,NA,NA,NA,NA
"7",2016-01-01,"A","BG",0,NA,NA,NA,NA
"8",2016-01-01,"A","BLK",0,NA,NA,NA,NA
"9",2016-01-01,"A","BPL",0,NA,NA,NA,NA
"10",2016-01-01,"A","BVN",0,NA,NA,NA,NA
"11",2016-01-01,"A","BXP",0,NA,NA,NA,NA
"12",2016-01-01,"A","BYD",0,NA,NA,NA,NA
"13",2016-01-01,"A","CBD",0,NA,NA,NA,NA
"14",2016-01-01,"A","CCJ",0,NA,NA,NA,NA
"15",2016-01-01,"A","CCL",0,NA,NA,NA,NA
"16",2016-01-01,"A","CEA",0,NA,NA,NA,NA
"17",2016-01-01,"A","CHA",0,NA,NA,NA,NA
"18",2016-01-01,"A","CIEN",0,NA,NA,NA,NA
"19",2016-01-01,"A","CLB",0,NA,NA,NA,NA
"20",2016-01-01,"A","CNX",0,NA,NA,NA,NA
"21",2016-01-01,"A","COF",0,NA,NA,NA,NA
"22",2016-01-01,"A","COG",0,NA,NA,NA,NA
"23",2016-01-01,"A","CPT",0,NA,NA,NA,NA
"24",2016-01-01,"A","CRL",0,NA,NA,NA,NA
"25",2016-01-01,"A","DECK",0,NA,NA,NA,NA
"26",2016-01-01,"A","DKS",0,NA,NA,NA,NA
"27",2016-01-01,"A","DNP",0,NA,NA,NA,NA
"28",2016-01-01,"A","EL",0,NA,NA,NA,NA
"29",2016-01-01,"A","EPR",0,NA,NA,NA,NA
"30",2016-01-01,"A","ERJ",0,NA,NA,NA,NA
"31",2016-01-01,"A","ESS",0,NA,NA,NA,NA
"32",2016-01-01,"A","FBR",0,NA,NA,NA,NA
"33",2016-01-01,"A","FDS",0,NA,NA,NA,NA
"34",2016-01-01,"A","FR",0,NA,NA,NA,NA
"35",2016-01-01,"A","FUN",0,NA,NA,NA,NA
"36",2016-01-01,"A","GEL",0,NA,NA,NA,NA
"37",2016-01-01,"A","GIL",0,NA,NA,NA,NA
"38",2016-01-01,"A","GS",0,NA,NA,NA,NA
"39",2016-01-01,"A","HAE",0,NA,NA,NA,NA
"40",2016-01-01,"A","HDB",0,NA,NA,NA,NA
"41",2016-01-01,"A","HIW",0,NA,NA,NA,NA
"42",2016-01-01,"A","HNP",0,NA,NA,NA,NA
"43",2016-01-01,"A","HR",0,NA,NA,NA,NA
"44",2016-01-01,"A","IEX",0,NA,NA,NA,NA
"45",2016-01-01,"A","ING",0,NA,NA,NA,NA
"46",2016-01-01,"A","IT",0,NA,NA,NA,NA
"47",2016-01-01,"A","JBL",0,NA,NA,NA,NA
"48",2016-01-01,"A","JNPR",0,NA,NA,NA,NA
"49",2016-01-01,"A","KEP",0,NA,NA,NA,NA
"50",2016-01-01,"A","KOF",0,NA,NA,NA,NA
"51",2016-01-01,"A","KRC",0,NA,NA,NA,NA
"52",2016-01-01,"A","KSS",0,NA,NA,NA,NA
"53",2016-01-01,"A","LHO",0,NA,NA,NA,NA
"54",2016-01-01,"A","LII",0,NA,NA,NA,NA
"55",2016-01-01,"A","MAA",0,NA,NA,NA,NA
"56",2016-01-01,"A","MAC",0,NA,NA,NA,NA
"57",2016-01-01,"A","MET",0,NA,NA,NA,NA
"58",2016-01-01,"A","MKL",0,NA,NA,NA,NA
"59",2016-01-01,"A","MLM",0,NA,NA,NA,NA
"60",2016-01-01,"A","MMS",0,NA,NA,NA,NA
"61",2016-01-01,"A","MSM",0,NA,NA,NA,NA
"62",2016-01-01,"A","MTD",0,NA,NA,NA,NA
"63",2016-01-01,"A","MTG",0,NA,NA,NA,NA
"64",2016-01-01,"A","MTN",0,NA,NA,NA,NA
"65",2016-01-01,"A","NEA",0,NA,NA,NA,NA
"66",2016-01-01,"A","NFX",0,NA,NA,NA,NA
"67",2016-01-01,"A","NOK",0,NA,NA,NA,NA
"68",2016-01-01,"A","NUS",1,0.01,-6.5930309423759,2.24091736187992,1.16483824672143
"69",2016-01-01,"A","NVG",0,NA,NA,NA,NA
"70",2016-01-01,"A","OHI",0,NA,NA,NA,NA
"71",2016-01-01,"A","ORCL",0,NA,NA,NA,NA
"72",2016-01-01,"A","PAA",0,NA,NA,NA,NA
"73",2016-01-01,"A","PKG",0,NA,NA,NA,NA
"74",2016-01-01,"A","PKX",0,NA,NA,NA,NA
"75",2016-01-01,"A","PRU",0,NA,NA,NA,NA
"76",2016-01-01,"A","RCL",0,NA,NA,NA,NA
"77",2016-01-01,"A","RIO",0,NA,NA,NA,NA
"78",2016-01-01,"A","RL",0,NA,NA,NA,NA
"79",2016-01-01,"ROP","A",1,0.01,-10.2401501113178,4.02783249006323,4.54828533796787
"80",2016-01-01,"A","RS",0,NA,NA,NA,NA
"81",2016-01-01,"A","RSG",0,NA,NA,NA,NA
"82",2016-01-01,"A","SBS",0,NA,NA,NA,NA
"83",2016-01-01,"A","SKX",0,NA,NA,NA,NA
"84",2016-01-01,"A","SLG",0,NA,NA,NA,NA
"85",2016-01-01,"A","SMG",0,NA,NA,NA,NA
"86",2016-01-01,"A","SQM",0,NA,NA,NA,NA
"87",2016-01-01,"A","SUI",0,NA,NA,NA,NA
"88",2016-01-01,"A","TCO",0,NA,NA,NA,NA
"89",2016-01-01,"A","TEF",0,NA,NA,NA,NA
"90",2016-01-01,"A","TIF",0,NA,NA,NA,NA
"91",2016-01-01,"A","TSM",0,NA,NA,NA,NA
"92",2016-01-01,"A","TV",0,NA,NA,NA,NA
"93",2016-01-01,"A","UPS",0,NA,NA,NA,NA
"94",2016-01-01,"A","URI",0,NA,NA,NA,NA
"95",2016-01-01,"A","USM",0,NA,NA,NA,NA
"96",2016-01-01,"A","WAT",0,NA,NA,NA,NA
"97",2016-01-01,"A","YPF",0,NA,NA,NA,NA
"98",2016-01-01,"A","ZNH",0,NA,NA,NA,NA
"99",2016-01-01,"ACH","ACN",0,NA,NA,NA,NA
"100",2016-01-01,"ACH","ADS",0,NA,NA,NA,NA
"101",2016-01-01,"ACH","AIV",0,NA,NA,NA,NA
"102",2016-01-01,"ACH","ASGN",0,NA,NA,NA,NA
"103",2016-01-01,"ACH","AUO",0,NA,NA,NA,NA
"104",2016-01-01,"ACH","BG",0,NA,NA,NA,NA
"105",2016-01-01,"ACH","BLK",0,NA,NA,NA,NA
"106",2016-01-01,"ACH","BPL",0,NA,NA,NA,NA
"107",2016-01-01,"ACH","BVN",0,NA,NA,NA,NA
"108",2016-01-01,"ACH","BXP",0,NA,NA,NA,NA
"109",2016-01-01,"ACH","BYD",0,NA,NA,NA,NA
"110",2016-01-01,"ACH","CBD",0,NA,NA,NA,NA
"111",2016-01-01,"ACH","CCJ",0,NA,NA,NA,NA
"112",2016-01-01,"ACH","CCL",0,NA,NA,NA,NA
"113",2016-01-01,"ACH","CEA",0,NA,NA,NA,NA
"114",2016-01-01,"ACH","CHA",0,NA,NA,NA,NA
"115",2016-01-01,"ACH","CIEN",0,NA,NA,NA,NA
"116",2016-01-01,"ACH","CLB",0,NA,NA,NA,NA
"117",2016-01-01,"ACH","CNX",0,NA,NA,NA,NA
"118",2016-01-01,"ACH","COF",0,NA,NA,NA,NA
"119",2016-01-01,"ACH","COG",0,NA,NA,NA,NA
"120",2016-01-01,"ACH","CPT",0,NA,NA,NA,NA
"121",2016-01-01,"ACH","CRL",0,NA,NA,NA,NA
"122",2016-01-01,"ACH","DECK",0,NA,NA,NA,NA
"123",2016-01-01,"ACH","DKS",0,NA,NA,NA,NA
"124",2016-01-01,"ACH","DNP",0,NA,NA,NA,NA
"125",2016-01-01,"ACH","EL",0,NA,NA,NA,NA
"126",2016-01-01,"ACH","EPR",0,NA,NA,NA,NA
"127",2016-01-01,"ACH","ERJ",0,NA,NA,NA,NA
"128",2016-01-01,"ACH","ESS",0,NA,NA,NA,NA
"129",2016-01-01,"ACH","FBR",0,NA,NA,NA,NA
"130",2016-01-01,"ACH","FDS",0,NA,NA,NA,NA
"131",2016-01-01,"ACH","FR",0,NA,NA,NA,NA
"132",2016-01-01,"ACH","FUN",0,NA,NA,NA,NA
"133",2016-01-01,"ACH","GEL",0,NA,NA,NA,NA
"134",2016-01-01,"ACH","GIL",0,NA,NA,NA,NA
"135",2016-01-01,"ACH","GS",0,NA,NA,NA,NA
"136",2016-01-01,"ACH","HAE",0,NA,NA,NA,NA
"137",2016-01-01,"ACH","HDB",0,NA,NA,NA,NA
"138",2016-01-01,"ACH","HIW",0,NA,NA,NA,NA
"139",2016-01-01,"ACH","HNP",0,NA,NA,NA,NA
"140",2016-01-01,"ACH","HR",0,NA,NA,NA,NA
"141",2016-01-01,"ACH","IEX",0,NA,NA,NA,NA
"142",2016-01-01,"ACH","ING",0,NA,NA,NA,NA
"143",2016-01-01,"ACH","IT",0,NA,NA,NA,NA
"144",2016-01-01,"ACH","JBL",0,NA,NA,NA,NA
"145",2016-01-01,"ACH","JNPR",0,NA,NA,NA,NA
"146",2016-01-01,"ACH","KEP",0,NA,NA,NA,NA
"147",2016-01-01,"ACH","KOF",0,NA,NA,NA,NA
"148",2016-01-01,"ACH","KRC",0,NA,NA,NA,NA
"149",2016-01-01,"ACH","KSS",0,NA,NA,NA,NA
"150",2016-01-01,"ACH","LHO",0,NA,NA,NA,NA
"151",2016-01-01,"ACH","LII",0,NA,NA,NA,NA
"152",2016-01-01,"ACH","MAA",0,NA,NA,NA,NA
"153",2016-01-01,"ACH","MAC",0,NA,NA,NA,NA
"154",2016-01-01,"ACH","MET",0,NA,NA,NA,NA
"155",2016-01-01,"ACH","MKL",0,NA,NA,NA,NA
"156",2016-01-01,"ACH","MLM",0,NA,NA,NA,NA
"157",2016-01-01,"ACH","MMS",0,NA,NA,NA,NA
"158",2016-01-01,"ACH","MSM",0,NA,NA,NA,NA
"159",2016-01-01,"ACH","MTD",0,NA,NA,NA,NA
"160",2016-01-01,"ACH","MTG",0,NA,NA,NA,NA
"161",2016-01-01,"ACH","MTN",0,NA,NA,NA,NA
"162",2016-01-01,"ACH","NEA",0,NA,NA,NA,NA
"163",2016-01-01,"ACH","NFX",0,NA,NA,NA,NA
"164",2016-01-01,"ACH","NOK",0,NA,NA,NA,NA
"165",2016-01-01,"ACH","NUS",0,NA,NA,NA,NA
"166",2016-01-01,"ACH","NVG",0,NA,NA,NA,NA
"167",2016-01-01,"ACH","OHI",0,NA,NA,NA,NA
"168",2016-01-01,"ACH","ORCL",0,NA,NA,NA,NA
"169",2016-01-01,"ACH","PAA",0,NA,NA,NA,NA
"170",2016-01-01,"ACH","PKG",0,NA,NA,NA,NA
"171",2016-01-01,"ACH","PKX",0,NA,NA,NA,NA
"172",2016-01-01,"ACH","PRU",0,NA,NA,NA,NA
"173",2016-01-01,"ACH","RCL",0,NA,NA,NA,NA
"174",2016-01-01,"ACH","RIO",0,NA,NA,NA,NA
"175",2016-01-01,"ACH","RL",0,NA,NA,NA,NA
"176",2016-01-01,"ACH","ROP",0,NA,NA,NA,NA
"177",2016-01-01,"ACH","RS",0,NA,NA,NA,NA
"178",2016-01-01,"ACH","RSG",0,NA,NA,NA,NA
"179",2016-01-01,"ACH","SBS",0,NA,NA,NA,NA
"180",2016-01-01,"ACH","SKX",0,NA,NA,NA,NA
"181",2016-01-01,"ACH","SLG",0,NA,NA,NA,NA
"182",2016-01-01,"ACH","SMG",0,NA,NA,NA,NA
"183",2016-01-01,"ACH","SQM",0,NA,NA,NA,NA
"184",2016-01-01,"ACH","SUI",0,NA,NA,NA,NA
"185",2016-01-01,"ACH","TCO",0,NA,NA,NA,NA
"186",2016-01-01,"ACH","TEF",0,NA,NA,NA,NA
"187",2016-01-01,"ACH","TIF",0,NA,NA,NA,NA
"188",2016-01-01,"ACH","TSM",0,NA,NA,NA,NA
"189",2016-01-01,"ACH","TV",0,NA,NA,NA,NA
"190",2016-01-01,"ACH","UPS",0,NA,NA,NA,NA
"191",2016-01-01,"ACH","URI",0,NA,NA,NA,NA
"192",2016-01-01,"ACH","USM",0,NA,NA,NA,NA
"193",2016-01-01,"ACH","WAT",0,NA,NA,NA,NA
"194",2016-01-01,"ACH","YPF",0,NA,NA,NA,NA
"195",2016-01-01,"ACH","ZNH",0,NA,NA,NA,NA
"196",2016-01-01,"ACN","ADS",0,NA,NA,NA,NA
"197",2016-01-01,"ACN","AIV",0,NA,NA,NA,NA
"198",2016-01-01,"ACN","ASGN",0,NA,NA,NA,NA
"199",2016-01-01,"ACN","AUO",0,NA,NA,NA,NA
"200",2016-01-01,"ACN","BG",0,NA,NA,NA,NA
"201",2016-01-01,"ACN","BLK",0,NA,NA,NA,NA
"202",2016-01-01,"ACN","BPL",0,NA,NA,NA,NA
"203",2016-01-01,"ACN","BVN",0,NA,NA,NA,NA
"204",2016-01-01,"ACN","BXP",0,NA,NA,NA,NA
"205",2016-01-01,"ACN","BYD",0,NA,NA,NA,NA
"206",2016-01-01,"ACN","CBD",0,NA,NA,NA,NA
"207",2016-01-01,"ACN","CCJ",0,NA,NA,NA,NA
"208",2016-01-01,"ACN","CCL",0,NA,NA,NA,NA
"209",2016-01-01,"ACN","CEA",0,NA,NA,NA,NA
"210",2016-01-01,"ACN","CHA",0,NA,NA,NA,NA
"211",2016-01-01,"ACN","CIEN",0,NA,NA,NA,NA
"212",2016-01-01,"ACN","CLB",0,NA,NA,NA,NA
"213",2016-01-01,"ACN","CNX",0,NA,NA,NA,NA
"214",2016-01-01,"ACN","COF",0,NA,NA,NA,NA
"215",2016-01-01,"ACN","COG",0,NA,NA,NA,NA
"216",2016-01-01,"ACN","CPT",0,NA,NA,NA,NA
"217",2016-01-01,"ACN","CRL",0,NA,NA,NA,NA
"218",2016-01-01,"ACN","DECK",0,NA,NA,NA,NA
"219",2016-01-01,"ACN","DKS",0,NA,NA,NA,NA
"220",2016-01-01,"ACN","DNP",0,NA,NA,NA,NA
