"","dt","symbol1","symbol2"
"1",2014-01-01,"NEA","NVG"
"2",2014-01-01,"MTD","IEX"
"3",2014-01-01,"MTD","RS"
"4",2014-01-01,"MKL","IT"
"5",2014-01-01,"ADS","ASGN"
"6",2014-01-01,"MKL","TIF"
"7",2014-01-01,"MTD","SMG"
"8",2014-01-01,"SMG","ADS"
"9",2014-01-01,"IEX","ADS"
"10",2014-01-01,"ADS","CRL"
"11",2014-01-01,"GIL","ADS"
"12",2014-01-01,"LII","ADS"
"13",2014-01-01,"ADS","A"
"14",2014-01-01,"ADS","PKG"
"15",2014-01-01,"ADS","CLB"
"16",2014-01-01,"ADS","NUS"
"17",2014-01-01,"ASGN","SMG"
"18",2014-01-01,"ADS","PRU"
"19",2014-01-01,"ASGN","FDS"
"20",2014-01-01,"PKG","ASGN"
"21",2014-01-01,"ASGN","IEX"
"22",2014-01-01,"ASGN","PRU"
"23",2014-01-01,"ASGN","GIL"
"24",2014-01-01,"LII","IEX"
"25",2014-01-01,"ASGN","LII"
"26",2014-01-01,"ASGN","MTN"
"27",2014-01-01,"ASGN","SKX"
"28",2014-01-01,"FUN","IT"
"29",2014-01-01,"FUN","MTN"
"30",2014-01-01,"LII","CRL"
"31",2014-01-01,"IEX","CRL"
"32",2014-01-01,"IEX","SMG"
"33",2014-01-01,"FUN","CRL"
"34",2014-01-01,"FUN","GIL"
"35",2014-01-01,"FUN","LII"
"36",2014-01-01,"GEL","BPL"
"37",2014-01-01,"FUN","UPS"
"38",2014-01-01,"FUN","PKG"
"39",2014-01-01,"FUN","BLK"
"40",2014-01-01,"MTN","PKG"
"41",2014-01-01,"FUN","TIF"
"42",2014-01-01,"LII","GIL"
"43",2014-01-01,"GIL","CRL"
"44",2014-01-01,"FUN","IEX"
"45",2014-01-01,"SMG","CRL"
"46",2014-01-01,"NVG","ZNH"
"47",2014-01-01,"ASGN","CIEN"
"48",2014-01-01,"NEA","ZNH"
"49",2014-01-01,"GIL","IEX"
"50",2014-01-01,"LII","UPS"
"51",2014-01-01,"GIL","SMG"
"52",2014-01-01,"ASGN","NUS"
"53",2014-01-01,"MTN","LII"
"54",2014-01-01,"LII","SMG"
"55",2014-01-01,"NVG","SQM"
"56",2014-01-01,"MTN","TIF"
"57",2014-01-01,"NEA","SQM"
"58",2014-01-01,"PKG","GIL"
"59",2014-01-01,"SMG","A"
"60",2014-01-01,"IT","TIF"
"61",2014-01-01,"MTN","GIL"
"62",2014-01-01,"CRL","UPS"
"63",2014-01-01,"PKG","LII"
"64",2014-01-01,"IEX","UPS"
"65",2014-01-01,"IEX","A"
"66",2014-01-01,"PAA","SUI"
"67",2014-01-01,"FUN","CLB"
"68",2014-01-01,"PKG","BLK"
"69",2014-01-01,"PKG","IEX"
"70",2014-01-01,"PKG","KSS"
"71",2014-01-01,"LII","CLB"
"72",2014-01-01,"KSS","BLK"
"73",2014-01-01,"PKG","SMG"
"74",2014-01-01,"PKG","FDS"
"75",2014-01-01,"MTN","IEX"
"76",2014-01-01,"IEX","CLB"
"77",2014-01-01,"MTN","SMG"
"78",2014-01-01,"CLB","UPS"
"79",2014-01-01,"FDS","SKX"
"80",2014-01-01,"FDS","PRU"
"81",2014-01-01,"MAC","HR"
"82",2014-01-01,"GIL","TIF"
"83",2014-01-01,"LII","A"
"84",2014-01-01,"MTN","MTG"
"85",2014-01-01,"ZNH","SQM"
"86",2014-01-01,"PKG","CLB"
"87",2014-01-01,"FUN","DECK"
"88",2014-01-01,"BLK","TIF"
"89",2014-01-01,"SMG","CLB"
"90",2014-01-01,"NUS","ING"
"91",2014-01-01,"NEA","BVN"
"92",2014-01-01,"A","NUS"
"93",2014-01-01,"SMG","SKX"
"94",2014-01-01,"LII","SKX"
"95",2014-01-01,"PKX","RIO"
"96",2014-01-01,"MTN","SKX"
"97",2014-01-01,"CRL","URI"
"98",2014-01-01,"IEX","SKX"
