"","dt","symbol1","symbol2"
"1",2017-01-01,"MTD","IEX"
"2",2017-01-01,"MTD","MTN"
"3",2017-01-01,"IEX","LII"
"4",2017-01-01,"IEX","BLK"
"5",2017-01-01,"MTD","LII"
"6",2017-01-01,"MTN","SMG"
"7",2017-01-01,"IEX","UPS"
"8",2017-01-01,"MTN","TSM"
"9",2017-01-01,"MTD","PKG"
"10",2017-01-01,"RS","MLM"
"11",2017-01-01,"MTD","TSM"
"12",2017-01-01,"MTD","SQM"
"13",2017-01-01,"WAT","HDB"
"14",2017-01-01,"NEA","NVG"
"15",2017-01-01,"MTD","PAA"
"16",2017-01-01,"MTN","PKG"
"17",2017-01-01,"MTN","PAA"
"18",2017-01-01,"MTN","SQM"
"19",2017-01-01,"MTN","DKS"
"20",2017-01-01,"LII","FR"
"21",2017-01-01,"HDB","NUS"
"22",2017-01-01,"NUS","SBS"
"23",2017-01-01,"MTD","CNX"
"24",2017-01-01,"IEX","CNX"
"25",2017-01-01,"TSM","NUS"
"26",2017-01-01,"LII","CNX"
"27",2017-01-01,"DNP","HIW"
"28",2017-01-01,"HIW","FR"
"29",2017-01-01,"PAA","SQM"
"30",2017-01-01,"CCL","RCL"
"31",2017-01-01,"RSG","MLM"
"32",2017-01-01,"PAA","PKG"
"33",2017-01-01,"SQM","UPS"
"34",2017-01-01,"UPS","MLM"
"35",2017-01-01,"CNX","NFX"
"36",2017-01-01,"UPS","RIO"
"37",2017-01-01,"FR","NFX"
"38",2017-01-01,"SQM","TSM"
"39",2017-01-01,"SQM","PKG"
