"","dt","symbol1","symbol2"
"1",2009-01-01,"NVG","NEA"
"2",2009-01-01,"NEA","PAA"
"3",2009-01-01,"NEA","BPL"
"4",2009-01-01,"NVG","PAA"
"5",2009-01-01,"NEA","GEL"
"6",2009-01-01,"PAA","GEL"
"7",2009-01-01,"KOF","HIW"
"8",2009-01-01,"MKL","UPS"
"9",2009-01-01,"ZNH","CEA"
"10",2009-01-01,"NVG","GEL"
"11",2009-01-01,"HDB","MTG"
"12",2009-01-01,"KEP","USM"
"13",2009-01-01,"MKL","BPL"
"14",2009-01-01,"MTG","DKS"
"15",2009-01-01,"ROP","MAA"
"16",2009-01-01,"GEL","MTN"
"17",2009-01-01,"HIW","MSM"
"18",2009-01-01,"NEA","MTN"
"19",2009-01-01,"MTD","DNP"
"20",2009-01-01,"MKL","MTG"
"21",2009-01-01,"NUS","CPT"
"22",2009-01-01,"TIF","URI"
"23",2009-01-01,"CCL","BLK"
"24",2009-01-01,"ROP","TV"
"25",2009-01-01,"SUI","DNP"
"26",2009-01-01,"DNP","TV"
"27",2009-01-01,"MTG","ERJ"
"28",2009-01-01,"FDS","HIW"
"29",2009-01-01,"FDS","TIF"
"30",2009-01-01,"TV","TIF"
"31",2009-01-01,"FDS","MSM"
"32",2009-01-01,"MTG","BYD"
"33",2009-01-01,"BLK","CPT"
"34",2009-01-01,"BYD","HDB"
"35",2009-01-01,"SUI","CPT"
"36",2009-01-01,"BYD","DKS"
"37",2009-01-01,"RSG","BLK"
"38",2009-01-01,"FDS","IEX"
"39",2009-01-01,"MKL","GIL"
"40",2009-01-01,"DNP","BLK"
"41",2009-01-01,"CLB","URI"
"42",2009-01-01,"GEL","PKX"
"43",2009-01-01,"SUI","FUN"
"44",2009-01-01,"NOK","GEL"
"45",2009-01-01,"CHA","TEF"
"46",2009-01-01,"KSS","HIW"
"47",2009-01-01,"TSM","ROP"
"48",2009-01-01,"DNP","NUS"
"49",2009-01-01,"TV","MAA"
"50",2009-01-01,"DNP","PKG"
"51",2009-01-01,"PKX","BG"
"52",2009-01-01,"CHA","MTG"
"53",2009-01-01,"RSG","HIW"
"54",2009-01-01,"ROP","CBD"
"55",2009-01-01,"TSM","MAA"
"56",2009-01-01,"DNP","CPT"
"57",2009-01-01,"CCL","CPT"
"58",2009-01-01,"TV","FDS"
"59",2009-01-01,"SUI","CCL"
"60",2009-01-01,"JNPR","MTN"
"61",2009-01-01,"MTG","RCL"
"62",2009-01-01,"CHA","CEA"
"63",2009-01-01,"MTD","RSG"
"64",2009-01-01,"MAA","KOF"
"65",2009-01-01,"CHA","BPL"
"66",2009-01-01,"FUN","MTN"
"67",2009-01-01,"DNP","MTN"
"68",2009-01-01,"TSM","TV"
"69",2009-01-01,"FUN","CPT"
"70",2009-01-01,"CCL","RCL"
"71",2009-01-01,"FUN","NUS"
