"","dt","symbol1","symbol2"
"1",2004-01-01,"TV","IEX"
"2",2004-01-01,"TV","CCL"
"3",2004-01-01,"TV","RL"
"4",2004-01-01,"TV","MTD"
"5",2004-01-01,"TV","ING"
"6",2004-01-01,"TV","FBR"
"7",2004-01-01,"MAA","TV"
"8",2004-01-01,"TV","ADS"
"9",2004-01-01,"TV","TIF"
"10",2004-01-01,"TV","MLM"
"11",2004-01-01,"TV","URI"
"12",2004-01-01,"TV","JNPR"
"13",2004-01-01,"TV","RCL"
"14",2004-01-01,"TV","A"
"15",2004-01-01,"TV","DKS"
"16",2004-01-01,"TV","ET"
"17",2004-01-01,"CCL","IEX"
"18",2004-01-01,"URI","A"
"19",2004-01-01,"CCL","PAA"
"20",2004-01-01,"CCL","RSG"
"21",2004-01-01,"CCL","MTG"
"22",2004-01-01,"CCL","MTD"
"23",2004-01-01,"A","ROP"
"24",2004-01-01,"A","MMS"
"25",2004-01-01,"ACN","A"
"26",2004-01-01,"CCL","TEF"
"27",2004-01-01,"CBD","A"
"28",2004-01-01,"A","ING"
"29",2004-01-01,"CCL","PRU"
"30",2004-01-01,"CCL","RL"
"31",2004-01-01,"FBR","A"
"32",2004-01-01,"MAA","CCL"
"33",2004-01-01,"CCL","WAT"
"34",2004-01-01,"CCL","MLM"
"35",2004-01-01,"CCL","FUN"
"36",2004-01-01,"CCL","A"
"37",2004-01-01,"CCL","EL"
"38",2004-01-01,"PRU","A"
"39",2004-01-01,"MLM","A"
"40",2004-01-01,"CCL","FBR"
"41",2004-01-01,"CCL","ING"
"42",2004-01-01,"A","OHI"
"43",2004-01-01,"CCL","ADS"
"44",2004-01-01,"CCL","CPT"
"45",2004-01-01,"IEX","A"
"46",2004-01-01,"A","RS"
"47",2004-01-01,"A","RCL"
"48",2004-01-01,"A","JNPR"
"49",2004-01-01,"HR","A"
"50",2004-01-01,"CCL","RCL"
"51",2004-01-01,"CCL","MAC"
"52",2004-01-01,"MAA","A"
"53",2004-01-01,"MTD","A"
"54",2004-01-01,"A","CHA"
"55",2004-01-01,"CCL","SBS"
"56",2004-01-01,"TEF","A"
"57",2004-01-01,"TIF","A"
"58",2004-01-01,"A","ET"
"59",2004-01-01,"CCL","ET"
"60",2004-01-01,"CCL","JNPR"
"61",2004-01-01,"CPT","A"
"62",2004-01-01,"A","SBS"
"63",2004-01-01,"CCL","TIF"
"64",2004-01-01,"CCL","HNP"
"65",2004-01-01,"CCL","URI"
"66",2004-01-01,"CEA","ZNH"
"67",2004-01-01,"FBR","MLM"
"68",2004-01-01,"CCL","YPF"
