"","dt","status","side","order_type","rule","security","qty","price"
"1","2007-02-09 10:01:00","closed","long","stoplimit","EnterLONG","KOF.MTD","50","-4.35320359769813"
"2","2007-02-26 14:26:00","closed","long","stoplimit","StopLossLONG","KOF.MTD","all","-6.52980539654719"
"3","2007-03-06 09:41:00","closed","long","stoplimit","EnterLONG","KOF.MTD","50","-7.64120925906368"
"4","2007-11-02 09:45:00","closed","long","stoplimit","StopLossLONG","KOF.MTD","all","-11.4618138885955"
"5","2007-06-27 14:45:00","rejected","short","market","Exit2SHORT","KOF.MTD","all","-2.61973975807964"
"6","2007-07-05 09:34:00","rejected","short","market","Exit2SHORT","KOF.MTD","all","1.71313434303202"
"7","2007-07-06 09:33:00","rejected","short","market","Exit2SHORT","KOF.MTD","all","1.62738614080872"
"8","2007-07-09 09:33:00","rejected","short","market","Exit2SHORT","KOF.MTD","all","0.401257844884761"
"9","2007-07-10 14:59:00","rejected","short","market","Exit2SHORT","KOF.MTD","all","-0.333991555856336"
"10","2007-07-10 15:05:00","rejected","short","market","Exit2SHORT","KOF.MTD","all","-0.380566376078669"
"11","2007-07-11 09:34:00","rejected","short","market","Exit2SHORT","KOF.MTD","all","1.4983837437731"
"12","2007-07-18 09:34:00","rejected","short","market","Exit2SHORT","KOF.MTD","all","0.563147629151551"
"13","2007-07-18 11:38:00","rejected","short","market","Exit2SHORT","KOF.MTD","all","0.613908683847221"
"14","2007-07-18 15:09:00","rejected","short","market","Exit2SHORT","KOF.MTD","all","0.250627916795828"
"15","2007-07-19 09:36:00","rejected","short","market","Exit2SHORT","KOF.MTD","all","0.64642839620295"
"16","2007-07-19 10:04:00","rejected","short","market","Exit2SHORT","KOF.MTD","all","0.691887772973686"
"17","2007-07-19 10:20:00","rejected","short","market","Exit2SHORT","KOF.MTD","all","0.481677796944041"
"18","2007-07-20 13:54:00","rejected","short","market","Exit2SHORT","KOF.MTD","all","-0.227482298937382"
"19","2007-07-30 15:29:00","rejected","short","market","Exit2SHORT","KOF.MTD","all","-1.3650547221241"
"20","2007-07-30 15:32:00","rejected","short","market","Exit2SHORT","KOF.MTD","all","-1.36078963822786"
"21","2007-07-31 09:34:00","rejected","short","market","Exit2SHORT","KOF.MTD","all","2.02388211160814"
"22","2007-12-31 10:07:00","closed","long","stoplimit","EnterLONG","KOF.MTD","50","-7.65976252991789"
"23",NA,"open","long","stoplimit","StopLossLONG","KOF.MTD","all","-11.4896437948768"
"24","2007-01-10 10:03:00","canceled","short","stoplimit","EnterSHORT","RL.HDB","-50","7.69936773133817"
"25","2007-01-10 10:03:00","canceled","short","stoplimit","EnterSHORT","RL.HDB","-50","8.40573471851677"
"26","2007-01-10 10:03:00","canceled","short","stoplimit","EnterSHORT","RL.HDB","-50","8.48808891380058"
"27","2007-01-10 10:03:00","closed","short","stoplimit","EnterSHORT","RL.HDB","-50","8.77562233870876"
"28","2007-01-12 09:36:00","replaced","short","stoplimit","StopLossSHORT","RL.HDB","all","13.0741835080631"
"29","2007-01-12 09:37:00","closed","short","market","Exit2SHORT","RL.HDB","all","3.53987351202279"
"30","2007-02-13 09:47:00","closed","short","stoplimit","EnterSHORT","RL.HDB","-50","8.72006333001099"
"31","2007-02-13 11:51:00","closed","short","stoplimit","StopLossSHORT","RL.HDB","all","8.82303640127287"
"32","2007-02-13 12:42:00","closed","short","stoplimit","EnterSHORT","RL.HDB","-50","9.59055548889242"
"33","2007-02-13 12:42:00","canceled","short","stoplimit","EnterSHORT","RL.HDB","-50","9.70620555757353"
"34","2007-07-13 09:41:00","replaced","short","stoplimit","StopLossSHORT","RL.HDB","all","14.2332205101249"
"35","2007-07-13 09:42:00","closed","short","market","Exit2SHORT","RL.HDB","all","3.65920103608856"
"36","2007-08-08 10:26:00","closed","long","stoplimit","EnterLONG","RL.HDB","50","-7.72853376817706"
"37","2007-08-08 14:25:00","closed","long","stoplimit","StopLossLONG","RL.HDB","all","-11.5928006522656"
"38","2007-08-09 09:38:00","closed","long","stoplimit","EnterLONG","RL.HDB","50","-9.11584821415382"
"39","2007-08-28 09:35:00","closed","long","stoplimit","StopLossLONG","RL.HDB","all","-13.6737723212307"
"40","2007-08-20 13:15:00","rejected","short","market","Exit2SHORT","RL.HDB","all","-7.70016334694191"
"41","2007-09-06 15:35:00","closed","long","stoplimit","EnterLONG","RL.HDB","50","-14.1449007553557"
"42","2007-09-20 11:17:00","closed","long","stoplimit","StopLossLONG","RL.HDB","all","-21.2173511330335"
"43","2007-02-06 09:36:00","closed","long","stoplimit","EnterLONG","USM.PKX","50","-12.6160556811328"
"44","2007-02-21 09:32:00","closed","long","stoplimit","StopLossLONG","USM.PKX","all","-18.9240835216992"
"45","2007-02-28 09:40:00","closed","long","stoplimit","EnterLONG","USM.PKX","50","-14.0330108543075"
"46","2007-03-12 10:35:00","closed","long","stoplimit","StopLossLONG","USM.PKX","all","-21.0495162814613"
"47","2007-03-28 09:34:00","closed","long","stoplimit","EnterLONG","USM.PKX","50","-19.9559055678735"
"48","2007-05-09 12:29:00","closed","long","stoplimit","StopLossLONG","USM.PKX","all","-29.9338583518103"
"49","2007-04-03 10:07:00","closed","short","stoplimit","EnterSHORT","KSS.ING","-50","15.851291157542"
