"","dt","symbol1","symbol2"
"1",2015-01-01,"DNP","MKL"
"2",2015-01-01,"MKL","HIW"
"3",2015-01-01,"MKL","TSM"
"4",2015-01-01,"MKL","OHI"
"5",2015-01-01,"MKL","RSG"
"6",2015-01-01,"MKL","HDB"
"7",2015-01-01,"ZNH","CEA"
"8",2015-01-01,"BLK","FDS"
"9",2015-01-01,"BLK","MTD"
"10",2015-01-01,"MKL","AUO"
"11",2015-01-01,"ROP","FDS"
"12",2015-01-01,"NVG","URI"
"13",2015-01-01,"DNP","CPT"
"14",2015-01-01,"DNP","HIW"
"15",2015-01-01,"HNP","AUO"
"16",2015-01-01,"URI","SKX"
"17",2015-01-01,"FDS","MTN"
"18",2015-01-01,"TV","HDB"
"19",2015-01-01,"DNP","OHI"
"20",2015-01-01,"HIW","OHI"
"21",2015-01-01,"TV","URI"
"22",2015-01-01,"HDB","URI"
"23",2015-01-01,"DNP","TSM"
"24",2015-01-01,"HR","OHI"
