"","dt","status","side","order_type","rule","security","qty","price"
"1","2009-01-02 09:50:00","closed","short","stoplimit","EnterSHORT","NVG.NEA","-50","1.21303614859041"
"2","2009-01-14 10:45:00","replaced","short","stoplimit","StopLossSHORT","NVG.NEA","all","1.77687663885255"
"3","2009-01-14 10:46:00","closed","short","market","Exit2SHORT","NVG.NEA","all","0.164069537960367"
"4","2009-01-20 09:54:00","closed","short","stoplimit","EnterSHORT","NVG.NEA","-50","1.18356953796037"
"5","2009-01-20 09:54:00","canceled","short","stoplimit","EnterSHORT","NVG.NEA","-50","1.21252126064908"
"6","2009-01-20 09:55:00","closed","short","stoplimit","StopLossSHORT","NVG.NEA","all","0.906828466609932"
"7","2009-01-20 09:56:00","closed","short","stoplimit","EnterSHORT","NVG.NEA","-50","1.21252126064908"
"8","2009-01-20 10:42:00","closed","short","stoplimit","StopLossSHORT","NVG.NEA","all","1.20453189097362"
"9","2009-01-20 10:46:00","closed","short","stoplimit","EnterSHORT","NVG.NEA","-50","1.27356953796037"
"10","2009-01-20 10:46:00","canceled","short","stoplimit","EnterSHORT","NVG.NEA","-50","1.31217183487865"
"11","2009-01-20 10:57:00","closed","short","stoplimit","StopLossSHORT","NVG.NEA","all","0.0340077523179678"
"12","2009-01-20 10:58:00","closed","short","stoplimit","EnterSHORT","NVG.NEA","-50","1.24496724104209"
"13","2009-03-05 10:03:00","replaced","short","stoplimit","StopLossSHORT","NVG.NEA","all","1.82320086156313"
"14","2009-03-05 10:04:00","closed","short","market","Exit2SHORT","NVG.NEA","all","0.522887913306587"
"15","2009-09-18 09:31:00","closed","long","stoplimit","EnterLONG","ZNH.CEA","50","-7.63140030044881"
"16",NA,"open","long","stoplimit","StopLossLONG","ZNH.CEA","all","-11.4471004506732"
"17","2009-06-19 09:55:00","canceled","short","stoplimit","EnterSHORT","HDB.MTG","-50","71.1287506244603"
"18","2009-06-19 09:55:00","closed","short","stoplimit","EnterSHORT","HDB.MTG","-50","71.3848906919922"
"19","2009-08-05 09:40:00","replaced","short","stoplimit","StopLossSHORT","HDB.MTG","all","106.733086037988"
