"","dt","status","side","order_type","rule","security","qty","price"
"1","2016-06-27 13:24:00","closed","short","stoplimit","EnterSHORT","NVG.NEA","-50","0.62373605318031"
"2","2016-06-27 13:24:00","canceled","short","stoplimit","EnterSHORT","NVG.NEA","-50","0.62373605318031"
"3","2016-06-27 13:24:00","canceled","short","stoplimit","EnterSHORT","NVG.NEA","-50","0.624231183696341"
"4","2016-11-14 09:47:00","replaced","short","stoplimit","StopLossSHORT","NVG.NEA","all","0.906354079770465"
"5","2016-11-14 09:48:00","closed","short","market","Exit2SHORT","NVG.NEA","all","0.292864415549573"
"6","2016-09-29 10:03:00","closed","long","stoplimit","EnterLONG","MKL.ACN","50","-82.083935965194"
"7","2016-11-02 09:48:00","closed","long","stoplimit","StopLossLONG","MKL.ACN","all","-123.125903947791"
"8","2016-10-05 14:54:00","rejected","short","market","Exit2SHORT","MKL.ACN","all","-44.4270903326218"
"9","2016-10-11 11:21:00","rejected","short","market","Exit2SHORT","MKL.ACN","all","-40.9131618039253"
"10","2016-10-13 13:46:00","rejected","short","market","Exit2SHORT","MKL.ACN","all","-47.0153127504344"
"11","2016-10-17 15:09:00","rejected","short","market","Exit2SHORT","MKL.ACN","all","-41.3412137467976"
"12","2016-10-19 09:34:00","rejected","short","market","Exit2SHORT","MKL.ACN","all","-2.92089720745594"
"13","2016-10-21 09:35:00","rejected","short","market","Exit2SHORT","MKL.ACN","all","-44.6207511430547"
"14","2016-10-24 09:34:00","rejected","short","market","Exit2SHORT","MKL.ACN","all","-42.3686326109868"
"15","2016-10-25 09:35:00","rejected","short","market","Exit2SHORT","MKL.ACN","all","-15.452528725242"
"16","2016-10-26 09:33:00","rejected","short","market","Exit2SHORT","MKL.ACN","all","-48.1118956465588"
"17","2016-10-27 09:32:00","rejected","short","market","Exit2SHORT","MKL.ACN","all","-21.4424719002619"
"18","2016-11-02 09:53:00","closed","long","stoplimit","EnterLONG","MKL.ACN","50","-128.465583889617"
"19",NA,"open","long","stoplimit","StopLossLONG","MKL.ACN","all","-192.698375834425"
"20","2016-11-15 09:46:00","rejected","short","market","Exit2SHORT","MKL.ACN","all","-87.5730481539651"
"21","2016-11-17 09:35:00","rejected","short","market","Exit2SHORT","MKL.ACN","all","-77.8305562575754"
"22","2016-11-28 09:31:00","rejected","short","market","Exit2SHORT","MKL.ACN","all","-53.1113029862189"
"23","2016-01-11 10:02:00","closed","short","stoplimit","EnterSHORT","BPL.GEL","-50","7.86011561171569"
"24","2016-01-15 09:37:00","closed","short","stoplimit","StopLossSHORT","BPL.GEL","all","11.0922307393693"
"25","2016-01-15 09:38:00","closed","short","stoplimit","EnterSHORT","BPL.GEL","-50","11.3716374480196"
"26","2016-02-03 10:50:00","closed","short","stoplimit","StopLossSHORT","BPL.GEL","all","12.5892540529407"
"27","2016-02-03 10:51:00","closed","short","stoplimit","EnterSHORT","BPL.GEL","-50","12.7256023163085"
"28",NA,"open","short","stoplimit","StopLossSHORT","BPL.GEL","all","18.8227154204874"
"29","2016-01-28 09:30:00","closed","long","stoplimit","EnterLONG","MTG.ING","50","-0.98668740892558"
"30","2016-05-25 09:31:00","closed","long","stoplimit","StopLossLONG","MTG.ING","all","-1.48003111338837"
"31","2016-06-14 09:35:00","closed","long","stoplimit","EnterLONG","MTG.ING","50","-1.2262546340449"
"32","2016-06-21 09:30:00","closed","long","stoplimit","StopLossLONG","MTG.ING","all","-1.83938195106735"
"33","2016-06-24 09:32:00","closed","long","stoplimit","EnterLONG","MTG.ING","50","-1.01810931986924"
"34",NA,"open","long","stoplimit","StopLossLONG","MTG.ING","all","-1.52716397980386"
"35","2016-09-16 09:33:00","rejected","short","market","Exit2SHORT","MTG.ING","all","0.0183071591059125"
"36","2016-11-28 09:31:00","rejected","short","market","Exit2SHORT","MTG.ING","all","0.469350392028979"
"37","2016-12-02 09:33:00","rejected","short","market","Exit2SHORT","MTG.ING","all","0.369296295168894"
"38","2016-12-09 12:45:00","rejected","short","market","Exit2SHORT","MTG.ING","all","0.47751109878609"
"39","2016-12-19 15:56:00","closed","short","stoplimit","EnterSHORT","MTG.ING","-50","0.987497970526855"
"40","2016-12-23 10:57:00","closed","short","stoplimit","EnterSHORT","MTG.ING","-50","0.983858088319706"
"41","2016-12-23 10:57:00","canceled","short","stoplimit","EnterSHORT","MTG.ING","-50","1.00054278727307"
"42",NA,"open","short","stoplimit","StopLossSHORT","MTG.ING","all","1.46651008404952"
