"","dt","symbol1","symbol2"
"1",2012-01-01,"NEA","NVG"
"2",2012-01-01,"USM","BLK"
"3",2012-01-01,"NVG","NUS"
"4",2012-01-01,"USM","TV"
"5",2012-01-01,"USM","MLM"
"6",2012-01-01,"ACH","RIO"
"7",2012-01-01,"USM","PRU"
"8",2012-01-01,"USM","HR"
"9",2012-01-01,"IEX","FR"
"10",2012-01-01,"USM","OHI"
"11",2012-01-01,"ACH","PKX"
"12",2012-01-01,"MLM","HNP"
"13",2012-01-01,"DNP","NUS"
"14",2012-01-01,"BG","HIW"
"15",2012-01-01,"RS","LII"
"16",2012-01-01,"MLM","HR"
"17",2012-01-01,"BLK","MLM"
"18",2012-01-01,"MLM","LII"
"19",2012-01-01,"BLK","HNP"
"20",2012-01-01,"MLM","RS"
"21",2012-01-01,"ERJ","HR"
"22",2012-01-01,"PKG","ERJ"
"23",2012-01-01,"PRU","RCL"
"24",2012-01-01,"MTN","RCL"
"25",2012-01-01,"RIO","CRL"
"26",2012-01-01,"USM","FBR"
"27",2012-01-01,"MLM","CIEN"
"28",2012-01-01,"CNX","PKX"
"29",2012-01-01,"FDS","ORCL"
"30",2012-01-01,"IEX","ING"
"31",2012-01-01,"USM","AUO"
"32",2012-01-01,"HNP","RS"
"33",2012-01-01,"BLK","KEP"
"34",2012-01-01,"MLM","JNPR"
"35",2012-01-01,"RCL","BYD"
"36",2012-01-01,"HAE","WAT"
"37",2012-01-01,"USM","RCL"
"38",2012-01-01,"USM","LII"
"39",2012-01-01,"USM","RS"
"40",2012-01-01,"PKG","PRU"
"41",2012-01-01,"MLM","OHI"
"42",2012-01-01,"ACH","NFX"
"43",2012-01-01,"AUO","LII"
"44",2012-01-01,"AUO","CIEN"
"45",2012-01-01,"ERJ","PRU"
"46",2012-01-01,"SMG","HR"
"47",2012-01-01,"CNX","CRL"
"48",2012-01-01,"PKX","RIO"
"49",2012-01-01,"BG","RIO"
"50",2012-01-01,"CNX","RIO"
"51",2012-01-01,"YPF","CCJ"
"52",2012-01-01,"HR","ING"
"53",2012-01-01,"BLK","OHI"
"54",2012-01-01,"LII","JNPR"
"55",2012-01-01,"BLK","HR"
"56",2012-01-01,"BG","PRU"
"57",2012-01-01,"ING","CRL"
"58",2012-01-01,"MTN","RS"
"59",2012-01-01,"RCL","AUO"
"60",2012-01-01,"JNPR","CIEN"
