"","dt","status","side","order_type","rule","security","qty","price"
"1","2018-01-05 11:58:00","closed","long","stoplimit","EnterLONG","MKL.ACN","50","-106.062635359424"
"2","2018-06-11 11:25:00","closed","long","stoplimit","StopLossLONG","MKL.ACN","all","-159.093953039136"
"3","2018-02-05 09:33:00","rejected","short","market","Exit2SHORT","MKL.ACN","all","-69.6558197853276"
"4","2018-02-16 09:32:00","rejected","short","market","Exit2SHORT","MKL.ACN","all","-65.8352109538232"
"5","2018-03-22 09:40:00","rejected","short","market","Exit2SHORT","MKL.ACN","all","-2.88121687004173"
"6","2018-03-22 11:01:00","rejected","short","market","Exit2SHORT","MKL.ACN","all","-17.8723657748253"
"7","2018-03-22 11:04:00","rejected","short","market","Exit2SHORT","MKL.ACN","all","16.3352763017208"
"8","2018-03-22 11:33:00","rejected","short","market","Exit2SHORT","MKL.ACN","all","-5.58746458999417"
"9","2018-03-22 11:59:00","rejected","short","market","Exit2SHORT","MKL.ACN","all","2.82304725037943"
"10","2018-03-22 12:29:00","rejected","short","market","Exit2SHORT","MKL.ACN","all","17.6390126412778"
"11","2018-03-22 12:51:00","rejected","short","market","Exit2SHORT","MKL.ACN","all","2.13139879763708"
"12","2018-03-22 12:55:00","rejected","short","market","Exit2SHORT","MKL.ACN","all","6.14107229518663"
"13","2018-03-22 13:42:00","rejected","short","market","Exit2SHORT","MKL.ACN","all","-5.09645684973771"
"14","2018-03-22 13:44:00","rejected","short","market","Exit2SHORT","MKL.ACN","all","-3.95206750528018"
"15","2018-03-22 13:49:00","rejected","short","market","Exit2SHORT","MKL.ACN","all","-7.93997961846594"
"16","2018-03-22 13:52:00","rejected","short","market","Exit2SHORT","MKL.ACN","all","-4.72854473655207"
"17","2018-03-22 14:14:00","rejected","short","market","Exit2SHORT","MKL.ACN","all","-0.735078433634953"
"18","2018-03-22 14:25:00","rejected","short","market","Exit2SHORT","MKL.ACN","all","1.02316018200099"
"19","2018-03-22 14:29:00","rejected","short","market","Exit2SHORT","MKL.ACN","all","-2.79009255008759"
"20","2018-03-22 14:51:00","rejected","short","market","Exit2SHORT","MKL.ACN","all","-7.19388535545522"
"21","2018-03-22 15:29:00","rejected","short","market","Exit2SHORT","MKL.ACN","all","-9.18424009081104"
"22","2018-03-23 09:33:00","rejected","short","market","Exit2SHORT","MKL.ACN","all","9.56982275119617"
"23","2018-03-23 09:35:00","rejected","short","market","Exit2SHORT","MKL.ACN","all","-2.04328881636525"
"24","2018-03-23 09:47:00","rejected","short","market","Exit2SHORT","MKL.ACN","all","-6.08394182126585"
"25","2018-03-23 10:53:00","rejected","short","market","Exit2SHORT","MKL.ACN","all","25.8619671038214"
"26","2018-03-23 11:35:00","rejected","short","market","Exit2SHORT","MKL.ACN","all","-12.8713138611727"
"27","2018-03-23 11:53:00","rejected","short","market","Exit2SHORT","MKL.ACN","all","-8.81342998089258"
"28","2018-03-23 12:34:00","rejected","short","market","Exit2SHORT","MKL.ACN","all","-9.99605794098602"
"29","2018-03-23 14:30:00","rejected","short","market","Exit2SHORT","MKL.ACN","all","38.456598252013"
"30","2018-03-23 14:45:00","rejected","short","market","Exit2SHORT","MKL.ACN","all","-7.01429655662196"
"31","2018-03-23 15:25:00","rejected","short","market","Exit2SHORT","MKL.ACN","all","-0.803841182059159"
"32","2018-03-23 15:30:00","rejected","short","market","Exit2SHORT","MKL.ACN","all","-2.37617087260764"
"33","2018-03-26 09:33:00","rejected","short","market","Exit2SHORT","MKL.ACN","all","29.009439782935"
"34","2018-03-26 09:36:00","rejected","short","market","Exit2SHORT","MKL.ACN","all","16.0980049010211"
"35","2018-03-26 09:39:00","rejected","short","market","Exit2SHORT","MKL.ACN","all","26.0291697462958"
"36","2018-03-26 09:44:00","rejected","short","market","Exit2SHORT","MKL.ACN","all","11.3891697462957"
"37","2018-03-26 09:47:00","rejected","short","market","Exit2SHORT","MKL.ACN","all","8.4612294002045"
"38","2018-03-26 11:06:00","rejected","short","market","Exit2SHORT","MKL.ACN","all","-15.2995524768087"
"39","2018-03-26 11:23:00","rejected","short","market","Exit2SHORT","MKL.ACN","all","-7.50554610061226"
"40","2018-03-26 12:18:00","rejected","short","market","Exit2SHORT","MKL.ACN","all","31.5100927878357"
"41","2018-03-26 14:38:00","rejected","short","market","Exit2SHORT","MKL.ACN","all","16.7290691070884"
"42","2018-03-27 11:04:00","rejected","short","market","Exit2SHORT","MKL.ACN","all","-29.2929905468204"
"43","2018-03-27 11:48:00","rejected","short","market","Exit2SHORT","MKL.ACN","all","19.5288555362597"
"44","2018-03-27 12:02:00","rejected","short","market","Exit2SHORT","MKL.ACN","all","-26.8726075785592"
"45","2018-03-27 12:27:00","rejected","short","market","Exit2SHORT","MKL.ACN","all","-34.0487865402863"
"46","2018-03-27 14:55:00","rejected","short","market","Exit2SHORT","MKL.ACN","all","-12.6680893619896"
