"","dt","symbol1","symbol2"
"1",2006-01-01,"ZNH","CEA"
"2",2006-01-01,"LII","TV"
"3",2006-01-01,"TIF","LII"
"4",2006-01-01,"LII","RS"
"5",2006-01-01,"LII","ERJ"
"6",2006-01-01,"LII","RIO"
"7",2006-01-01,"HAE","LII"
"8",2006-01-01,"LII","CLB"
"9",2006-01-01,"LII","A"
"10",2006-01-01,"LII","BLK"
"11",2006-01-01,"LII","ET"
"12",2006-01-01,"MAC","MAA"
"13",2006-01-01,"CNX","SQM"
"14",2006-01-01,"RS","CBD"
"15",2006-01-01,"CPT","PRU"
"16",2006-01-01,"CBD","ASGN"
"17",2006-01-01,"CCL","RCL"
"18",2006-01-01,"PRU","MTN"
"19",2006-01-01,"ET","BLK"
"20",2006-01-01,"RS","ASGN"
"21",2006-01-01,"RS","RIO"
"22",2006-01-01,"TV","ET"
"23",2006-01-01,"BVN","RIO"
"24",2006-01-01,"CLB","RS"
"25",2006-01-01,"ERJ","A"
"26",2006-01-01,"BLK","RS"
"27",2006-01-01,"TV","RS"
"28",2006-01-01,"LII","ASGN"
"29",2006-01-01,"ING","ACH"
"30",2006-01-01,"SUI","NUS"
"31",2006-01-01,"HAE","RS"
"32",2006-01-01,"MLM","MAA"
"33",2006-01-01,"PRU","MAA"
"34",2006-01-01,"MLM","KEP"
"35",2006-01-01,"TIF","RIO"
"36",2006-01-01,"ET","RS"
"37",2006-01-01,"ERJ","TV"
