"","dt","symbol1","symbol2"
"1",2018-01-01,"MKL","ACN"
"2",2018-01-01,"MKL","EL"
"3",2018-01-01,"NUS","GIL"
"4",2018-01-01,"NUS","IEX"
"5",2018-01-01,"NUS","PKG"
"6",2018-01-01,"A","MTD"
"7",2018-01-01,"MTD","WAT"
"8",2018-01-01,"CRL","MTD"
"9",2018-01-01,"MTN","MTD"
"10",2018-01-01,"MTD","ING"
"11",2018-01-01,"MTD","PKG"
"12",2018-01-01,"MTD","RCL"
"13",2018-01-01,"MTD","CCL"
"14",2018-01-01,"BLK","ACN"
"15",2018-01-01,"ROP","MTD"
"16",2018-01-01,"IEX","MTD"
"17",2018-01-01,"MTD","GIL"
"18",2018-01-01,"MTD","TSM"
"19",2018-01-01,"NUS","BYD"
"20",2018-01-01,"MTD","HDB"
"21",2018-01-01,"BLK","IEX"
"22",2018-01-01,"MTN","RCL"
"23",2018-01-01,"CRL","A"
"24",2018-01-01,"BLK","ROP"
"25",2018-01-01,"CRL","PKG"
"26",2018-01-01,"BLK","EL"
"27",2018-01-01,"DNP","MTN"
"28",2018-01-01,"A","MTN"
"29",2018-01-01,"BLK","MTG"
"30",2018-01-01,"CRL","RCL"
"31",2018-01-01,"IEX","ROP"
"32",2018-01-01,"LII","ASGN"
"33",2018-01-01,"MTN","WAT"
"34",2018-01-01,"BLK","BYD"
"35",2018-01-01,"IEX","WAT"
"36",2018-01-01,"NEA","NVG"
"37",2018-01-01,"IEX","MTN"
"38",2018-01-01,"IEX","FR"
"39",2018-01-01,"IEX","PKG"
"40",2018-01-01,"IEX","A"
"41",2018-01-01,"MTN","CCL"
"42",2018-01-01,"MTN","ROP"
"43",2018-01-01,"IEX","RCL"
"44",2018-01-01,"MTN","TSM"
"45",2018-01-01,"MTN","HDB"
"46",2018-01-01,"ROP","WAT"
"47",2018-01-01,"RCL","WAT"
"48",2018-01-01,"IEX","GIL"
"49",2018-01-01,"RCL","CCL"
"50",2018-01-01,"IEX","ING"
"51",2018-01-01,"RCL","A"
"52",2018-01-01,"IEX","TSM"
"53",2018-01-01,"ROP","RCL"
"54",2018-01-01,"A","WAT"
"55",2018-01-01,"ROP","A"
"56",2018-01-01,"RCL","ING"
"57",2018-01-01,"IEX","ACN"
"58",2018-01-01,"RCL","HDB"
"59",2018-01-01,"RCL","PKG"
"60",2018-01-01,"GEL","BPL"
"61",2018-01-01,"WAT","CCL"
"62",2018-01-01,"IEX","EL"
"63",2018-01-01,"WAT","GIL"
"64",2018-01-01,"RCL","TSM"
"65",2018-01-01,"WAT","PKG"
"66",2018-01-01,"IEX","HDB"
"67",2018-01-01,"RCL","GIL"
"68",2018-01-01,"WAT","TSM"
"69",2018-01-01,"ROP","TSM"
"70",2018-01-01,"ROP","PKG"
"71",2018-01-01,"SQM","ACH"
"72",2018-01-01,"WAT","HDB"
"73",2018-01-01,"CCL","HDB"
"74",2018-01-01,"ACN","EL"
"75",2018-01-01,"GIL","CCL"
"76",2018-01-01,"PKG","GIL"
"77",2018-01-01,"IEX","BYD"
"78",2018-01-01,"CPT","FR"
"79",2018-01-01,"CCL","IT"
"80",2018-01-01,"ROP","ACN"
"81",2018-01-01,"PKG","ING"
"82",2018-01-01,"CCL","ING"
"83",2018-01-01,"HDB","IT"
"84",2018-01-01,"GIL","IT"
"85",2018-01-01,"ING","IT"
"86",2018-01-01,"A","TSM"
"87",2018-01-01,"ORCL","IT"
"88",2018-01-01,"GIL","HDB"
"89",2018-01-01,"FR","A"
"90",2018-01-01,"ING","HDB"
"91",2018-01-01,"PKG","A"
"92",2018-01-01,"PKG","HDB"
"93",2018-01-01,"RCL","EL"
"94",2018-01-01,"ROP","EL"
"95",2018-01-01,"CCL","ORCL"
"96",2018-01-01,"GIL","ING"
"97",2018-01-01,"NVG","GIL"
"98",2018-01-01,"ROP","HDB"
"99",2018-01-01,"PAA","DKS"
