"","dt","status","side","order_type","rule","security","qty","price"
"1","2014-07-18 09:44:00","closed","long","stoplimit","EnterLONG","NEA.NVG","50","-0.620265774202228"
"2",NA,"open","long","stoplimit","StopLossLONG","NEA.NVG","all","-0.930398661303342"
"3","2014-07-18 10:04:00","rejected","short","market","Exit2SHORT","NEA.NVG","all","-0.432229046098028"
"4","2014-07-18 11:23:00","rejected","short","market","Exit2SHORT","NEA.NVG","all","-0.551253531500828"
"5","2014-07-18 11:36:00","rejected","short","market","Exit2SHORT","NEA.NVG","all","-0.47320456069523"
"6","2014-07-18 14:39:00","rejected","short","market","Exit2SHORT","NEA.NVG","all","-0.405643347188231"
"7","2014-07-18 14:59:00","rejected","short","market","Exit2SHORT","NEA.NVG","all","-0.541253531500828"
"8","2014-07-21 09:45:00","rejected","short","market","Exit2SHORT","NEA.NVG","all","-0.619790259605027"
"9","2014-07-21 10:40:00","rejected","short","market","Exit2SHORT","NEA.NVG","all","-0.480278016903629"
"10","2014-07-21 11:02:00","rejected","short","market","Exit2SHORT","NEA.NVG","all","-0.658814745007827"
"11","2014-07-22 09:47:00","rejected","short","market","Exit2SHORT","NEA.NVG","all","-0.609546380955727"
"12","2014-07-22 09:51:00","rejected","short","market","Exit2SHORT","NEA.NVG","all","-0.580278016903629"
"13","2014-07-22 11:41:00","rejected","short","market","Exit2SHORT","NEA.NVG","all","-0.629790259605027"
"14","2014-07-22 11:56:00","rejected","short","market","Exit2SHORT","NEA.NVG","all","-0.629790259605027"
"15","2014-07-22 12:19:00","rejected","short","market","Exit2SHORT","NEA.NVG","all","-0.521009652851529"
"16","2014-07-22 12:32:00","rejected","short","market","Exit2SHORT","NEA.NVG","all","-0.560034138254329"
"17","2014-07-22 12:38:00","rejected","short","market","Exit2SHORT","NEA.NVG","all","-0.560034138254329"
"18","2014-07-22 12:41:00","rejected","short","market","Exit2SHORT","NEA.NVG","all","-0.560034138254329"
"19","2014-07-22 12:45:00","rejected","short","market","Exit2SHORT","NEA.NVG","all","-0.560034138254329"
"20","2014-07-22 12:48:00","rejected","short","market","Exit2SHORT","NEA.NVG","all","-0.560034138254329"
"21","2014-07-22 12:52:00","rejected","short","market","Exit2SHORT","NEA.NVG","all","-0.560034138254329"
"22","2014-07-22 12:57:00","rejected","short","market","Exit2SHORT","NEA.NVG","all","-0.296618861785431"
"23","2014-07-22 13:00:00","rejected","short","market","Exit2SHORT","NEA.NVG","all","-0.579546380955728"
"24","2014-07-22 13:03:00","rejected","short","market","Exit2SHORT","NEA.NVG","all","-0.569790259605028"
"25","2014-07-22 15:07:00","rejected","short","market","Exit2SHORT","NEA.NVG","all","-0.579546380955728"
"26","2014-07-22 15:29:00","rejected","short","market","Exit2SHORT","NEA.NVG","all","-0.569790259605028"
"27","2014-07-22 15:33:00","rejected","short","market","Exit2SHORT","NEA.NVG","all","-0.520034138254328"
"28","2014-07-22 15:41:00","rejected","short","market","Exit2SHORT","NEA.NVG","all","-0.569790259605028"
"29","2014-07-22 15:50:00","rejected","short","market","Exit2SHORT","NEA.NVG","all","-0.549790259605027"
"30","2014-07-23 13:21:00","rejected","short","market","Exit2SHORT","NEA.NVG","all","-0.578570866358527"
"31","2014-07-23 13:25:00","rejected","short","market","Exit2SHORT","NEA.NVG","all","-0.578570866358527"
"32","2014-07-23 13:29:00","rejected","short","market","Exit2SHORT","NEA.NVG","all","-0.568570866358527"
"33","2014-07-23 13:32:00","rejected","short","market","Exit2SHORT","NEA.NVG","all","-0.510034138254328"
"34","2014-07-24 09:37:00","rejected","short","market","Exit2SHORT","NEA.NVG","all","-0.570521895552927"
"35","2014-07-24 11:31:00","rejected","short","market","Exit2SHORT","NEA.NVG","all","-0.481009652851528"
"36","2014-07-24 15:52:00","rejected","short","market","Exit2SHORT","NEA.NVG","all","-0.570278016903629"
