"","dt","symbol1","symbol2"
"1",2008-01-01,"CEA","ZNH"
"2",2008-01-01,"BVN","TEF"
"3",2008-01-01,"MAA","CPT"
"4",2008-01-01,"BVN","HDB"
"5",2008-01-01,"CRL","MTD"
"6",2008-01-01,"WAT","BVN"
"7",2008-01-01,"BVN","BG"
"8",2008-01-01,"ROP","CLB"
"9",2008-01-01,"NOK","CLB"
"10",2008-01-01,"PKG","AUO"
"11",2008-01-01,"CRL","WAT"
"12",2008-01-01,"HIW","MAC"
"13",2008-01-01,"BVN","CHA"
"14",2008-01-01,"CPT","SUI"
"15",2008-01-01,"WAT","DECK"
"16",2008-01-01,"NOK","BVN"
"17",2008-01-01,"CLB","BVN"
"18",2008-01-01,"ORCL","ROP"
"19",2008-01-01,"HIW","CPT"
"20",2008-01-01,"MAA","HIW"
"21",2008-01-01,"ROP","NOK"
"22",2008-01-01,"TEF","HDB"
"23",2008-01-01,"MTD","WAT"
"24",2008-01-01,"CRL","DECK"
"25",2008-01-01,"SBS","PKX"
"26",2008-01-01,"WAT","HDB"
"27",2008-01-01,"BG","TEF"
"28",2008-01-01,"FUN","KSS"
"29",2008-01-01,"BG","HDB"
"30",2008-01-01,"ASGN","CPT"
"31",2008-01-01,"DECK","HDB"
"32",2008-01-01,"WAT","BG"
"33",2008-01-01,"CRL","BVN"
"34",2008-01-01,"BG","DECK"
