"","dt","symbol1","symbol2"
"1",2010-01-01,"NVG","NEA"
"2",2010-01-01,"NEA","GEL"
"3",2010-01-01,"NVG","GEL"
"4",2010-01-01,"BPL","GEL"
"5",2010-01-01,"NVG","PAA"
"6",2010-01-01,"GEL","IEX"
"7",2010-01-01,"GEL","MSM"
"8",2010-01-01,"NVG","BPL"
"9",2010-01-01,"PAA","GEL"
"10",2010-01-01,"GEL","LII"
"11",2010-01-01,"GEL","PKG"
"12",2010-01-01,"GEL","MTN"
"13",2010-01-01,"NEA","SBS"
"14",2010-01-01,"NEA","RL"
"15",2010-01-01,"GEL","MMS"
"16",2010-01-01,"GEL","ROP"
"17",2010-01-01,"GEL","MAA"
"18",2010-01-01,"GEL","RL"
"19",2010-01-01,"GEL","PKX"
"20",2010-01-01,"GEL","CBD"
"21",2010-01-01,"GEL","A"
"22",2010-01-01,"NVG","TEF"
"23",2010-01-01,"GEL","WAT"
"24",2010-01-01,"GEL","HIW"
"25",2010-01-01,"GEL","KOF"
"26",2010-01-01,"GEL","TEF"
"27",2010-01-01,"NVG","MAA"
"28",2010-01-01,"NVG","WAT"
"29",2010-01-01,"GEL","COG"
"30",2010-01-01,"GEL","ACN"
"31",2010-01-01,"NEA","SUI"
"32",2010-01-01,"GEL","TIF"
"33",2010-01-01,"GEL","SUI"
"34",2010-01-01,"GEL","BLK"
"35",2010-01-01,"GEL","CLB"
"36",2010-01-01,"GEL","KEP"
"37",2010-01-01,"NVG","KSS"
"38",2010-01-01,"HR","A"
"39",2010-01-01,"GEL","CPT"
"40",2010-01-01,"GEL","ADS"
"41",2010-01-01,"NEA","NFX"
"42",2010-01-01,"GEL","MTD"
"43",2010-01-01,"GEL","SBS"
"44",2010-01-01,"NVG","RL"
"45",2010-01-01,"GEL","KSS"
"46",2010-01-01,"SUI","CPT"
"47",2010-01-01,"GEL","CCL"
"48",2010-01-01,"GEL","TV"
"49",2010-01-01,"NVG","BLK"
"50",2010-01-01,"GEL","FDS"
"51",2010-01-01,"NVG","CCL"
"52",2010-01-01,"NVG","CBD"
"53",2010-01-01,"GEL","CEA"
"54",2010-01-01,"NVG","SBS"
"55",2010-01-01,"ZNH","ACH"
"56",2010-01-01,"MSM","MTN"
"57",2010-01-01,"CEA","ZNH"
"58",2010-01-01,"GEL","EL"
"59",2010-01-01,"NVG","KEP"
"60",2010-01-01,"NVG","SUI"
"61",2010-01-01,"MAA","SUI"
"62",2010-01-01,"RL","SUI"
"63",2010-01-01,"BPL","ACN"
"64",2010-01-01,"GEL","NFX"
"65",2010-01-01,"GEL","CNX"
"66",2010-01-01,"SUI","ADS"
"67",2010-01-01,"IEX","MTN"
"68",2010-01-01,"SUI","ERJ"
"69",2010-01-01,"NVG","TIF"
"70",2010-01-01,"CEA","A"
"71",2010-01-01,"BPL","CBD"
"72",2010-01-01,"NVG","CEA"
"73",2010-01-01,"GEL","RCL"
"74",2010-01-01,"MMS","BPL"
"75",2010-01-01,"LII","CEA"
"76",2010-01-01,"GEL","DKS"
"77",2010-01-01,"MTN","SUI"
"78",2010-01-01,"SUI","RCL"
"79",2010-01-01,"NVG","PKG"
"80",2010-01-01,"KEP","SUI"
"81",2010-01-01,"GEL","HDB"
"82",2010-01-01,"CBD","KOF"
"83",2010-01-01,"MMS","CLB"
"84",2010-01-01,"MAA","UPS"
"85",2010-01-01,"PKX","KOF"
"86",2010-01-01,"BPL","KOF"
"87",2010-01-01,"MTN","TIF"
"88",2010-01-01,"RL","CEA"
"89",2010-01-01,"GEL","NUS"
"90",2010-01-01,"GEL","JBL"
"91",2010-01-01,"CEA","PKG"
"92",2010-01-01,"NVG","CPT"
"93",2010-01-01,"HR","MTN"
"94",2010-01-01,"CBD","ACN"
"95",2010-01-01,"ROP","BPL"
"96",2010-01-01,"TEF","CEA"
"97",2010-01-01,"BLK","CEA"
"98",2010-01-01,"HR","ADS"
"99",2010-01-01,"MAA","CEA"
"100",2010-01-01,"RL","MTN"
"101",2010-01-01,"HIW","SUI"
"102",2010-01-01,"SBS","SUI"
"103",2010-01-01,"HR","SUI"
"104",2010-01-01,"MAA","RL"
"105",2010-01-01,"NEA","PRU"
"106",2010-01-01,"NVG","NFX"
"107",2010-01-01,"CEA","ADS"
"108",2010-01-01,"MMS","ROP"
"109",2010-01-01,"CCL","SUI"
"110",2010-01-01,"BPL","PAA"
"111",2010-01-01,"JNPR","ZNH"
"112",2010-01-01,"PAA","MAA"
"113",2010-01-01,"PAA","CEA"
"114",2010-01-01,"DNP","A"
"115",2010-01-01,"GEL","CCJ"
"116",2010-01-01,"CLB","MAA"
"117",2010-01-01,"HR","LII"
"118",2010-01-01,"CCL","CEA"
"119",2010-01-01,"WAT","CEA"
"120",2010-01-01,"NVG","A"
"121",2010-01-01,"MAA","CCL"
"122",2010-01-01,"BPL","IEX"
"123",2010-01-01,"PKX","MTN"
"124",2010-01-01,"ORCL","CEA"
"125",2010-01-01,"NVG","MTD"
"126",2010-01-01,"PAA","LII"
"127",2010-01-01,"BPL","PKX"
"128",2010-01-01,"BPL","MTN"
"129",2010-01-01,"SQM","CEA"
"130",2010-01-01,"KSS","SMG"
"131",2010-01-01,"CLB","ROP"
"132",2010-01-01,"A","URI"
"133",2010-01-01,"BPL","TEF"
"134",2010-01-01,"CEA","HDB"
"135",2010-01-01,"BPL","WAT"
"136",2010-01-01,"CEA","JNPR"
"137",2010-01-01,"MMS","MAA"
"138",2010-01-01,"HR","IEX"
"139",2010-01-01,"MMS","KOF"
"140",2010-01-01,"IEX","CEA"
"141",2010-01-01,"CEA","MTN"
"142",2010-01-01,"GEL","GIL"
"143",2010-01-01,"BPL","CEA"
"144",2010-01-01,"MTN","CPT"
"145",2010-01-01,"LII","MTN"
"146",2010-01-01,"CEA","KSS"
"147",2010-01-01,"KSS","SUI"
"148",2010-01-01,"HIW","A"
"149",2010-01-01,"HR","MTD"
"150",2010-01-01,"IEX","PKX"
"151",2010-01-01,"GEL","MAC"
"152",2010-01-01,"SUI","TIF"
"153",2010-01-01,"MTN","TV"
"154",2010-01-01,"MTN","KOF"
"155",2010-01-01,"CLB","BPL"
"156",2010-01-01,"MAA","MTN"
"157",2010-01-01,"NVG","RCL"
"158",2010-01-01,"CEA","SBS"
"159",2010-01-01,"SUI","A"
"160",2010-01-01,"DKS","NFX"
"161",2010-01-01,"CEA","MTD"
"162",2010-01-01,"MAA","LII"
"163",2010-01-01,"NVG","ADS"
"164",2010-01-01,"SBS","KEP"
"165",2010-01-01,"CEA","PKX"
"166",2010-01-01,"GEL","PRU"
"167",2010-01-01,"UPS","SUI"
"168",2010-01-01,"URI","ERJ"
"169",2010-01-01,"MAA","IEX"
"170",2010-01-01,"MMS","PKX"
"171",2010-01-01,"ROP","MTN"
"172",2010-01-01,"CPT","A"
