"","dt","symbol1","symbol2"
"1",2003-02-01,"PKG","ASGN"
"2",2003-02-01,"TIF","A"
"3",2003-02-01,"IT","USM"
"4",2003-02-01,"MET","GS"
"5",2003-02-01,"ESS","FR"
"6",2003-02-01,"FDS","URI"
"7",2003-02-01,"HR","RCL"
"8",2003-02-01,"MTN","SKX"
"9",2003-02-01,"BXP","SUI"
"10",2003-02-01,"CCL","MLM"
