"","dt","symbol1","symbol2"
"1",2007-01-01,"KOF","MTD"
"2",2007-01-01,"RL","HDB"
"3",2007-01-01,"DECK","RL"
"4",2007-01-01,"USM","PKX"
"5",2007-01-01,"KSS","ING"
"6",2007-01-01,"KSS","ORCL"
"7",2007-01-01,"HNP","HDB"
"8",2007-01-01,"USM","SKX"
"9",2007-01-01,"HNP","RL"
"10",2007-01-01,"MAC","FR"
"11",2007-01-01,"FR","OHI"
"12",2007-01-01,"PKX","SKX"
"13",2007-01-01,"KSS","FDS"
"14",2007-01-01,"HNP","BG"
"15",2007-01-01,"MTN","DECK"
"16",2007-01-01,"DKS","RL"
"17",2007-01-01,"MTD","RL"
"18",2007-01-01,"ING","SBS"
"19",2007-01-01,"FDS","ADS"
"20",2007-01-01,"FR","RL"
"21",2007-01-01,"IT","RL"
"22",2007-01-01,"FDS","DECK"
"23",2007-01-01,"FDS","TEF"
"24",2007-01-01,"SBS","DECK"
"25",2007-01-01,"CNX","RIO"
"26",2007-01-01,"KSS","SBS"
"27",2007-01-01,"MSM","URI"
"28",2007-01-01,"MAC","RL"
"29",2007-01-01,"CEA","ZNH"
"30",2007-01-01,"MTD","HDB"
"31",2007-01-01,"MAC","DECK"
"32",2007-01-01,"DKS","HDB"
"33",2007-01-01,"MTD","PKX"
"34",2007-01-01,"ACN","CEA"
"35",2007-01-01,"WAT","MTD"
"36",2007-01-01,"FDS","IT"
"37",2007-01-01,"IT","DKS"
"38",2007-01-01,"DECK","IT"
"39",2007-01-01,"TEF","RL"
"40",2007-01-01,"DECK","DKS"
"41",2007-01-01,"FR","DKS"
"42",2007-01-01,"FUN","RCL"
"43",2007-01-01,"WAT","DKS"
"44",2007-01-01,"MAC","TEF"
"45",2007-01-01,"TEF","DECK"
"46",2007-01-01,"MAC","OHI"
"47",2007-01-01,"IT","MTD"
"48",2007-01-01,"RCL","CCL"
